userName,userLocation,userDescription,isUserVerified,date,text,source
Lourdes Benavente,Latitud  flor y  granizo ,"Ingeniera Ambiental de profesión y ambientalista de corazón. Vivo combinando las ruedas de mi bicicleta, mi trabajo y lo que sea que me haga ser mas humana.",False,2022-09-11 17:17:22+00:00,Aparece el 5G y la red de tigo ya no sirve para nada. #obsolecenciaprogramada #tigogt @Tigo_GT,Twitter for Android
Mariela,Guatemala,"Una bad bitch, girl de lo' 90",False,2022-09-11 17:05:36+00:00,"@Tigo_GT Entregarte tanto fue mi debilidad
Y tus besos ahora son mi necesidad
Ahora sólo me acompaña la soledad
Contigo siento que yo pierdo mi dignidad

#SigueLaMúsica 💙💙💙",Twitter for iPhone
Mariela,Guatemala,"Una bad bitch, girl de lo' 90",False,2022-09-11 17:05:24+00:00,"@Tigo_GT Entregarte tanto fue mi debilidad
Y tus besos ahora son mi necesidad
Ahora sólo me acompaña la soledad
Contigo siento que yo pierdo mi dignidad

#SigueLaMúsica ✨✨✨✨",Twitter for iPhone
Mariela,Guatemala,"Una bad bitch, girl de lo' 90",False,2022-09-11 17:05:00+00:00,"@Tigo_GT Entregarte tanto fue mi debilidad
Y tus besos ahora son mi necesidad
Ahora sólo me acompaña la soledad
Contigo siento que yo pierdo mi dignidad

#SigueLaMúsica 💗💗",Twitter for iPhone
Griffith91,,Blueworld,False,2022-09-11 16:30:06+00:00,@Tigo_GT 👑👑👑👑Super Junior 👑👑👑👑🇬🇹🇬🇹🇬🇹🇬🇹💙💙💙💙💙💙💙💙💙💞💞💙💙💙💙💙💙💙💙💙💙👑👑👑👑👑👑👑👑👑👑👑👑👑👑,Twitter for Android
RafaBaras,Guatemala,"Convierte tus sueños en realidad, lucha x ellos :).
Jugador de Fifa para Warriors TM
Streamer y Creador de contenido (https://t.co/Q5ABHOhlEF)
Director de eventos",False,2022-09-11 16:24:55+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo @FCBarcelona_es ⚽⚽,Twitter for Android
Byron Ruiz,,,False,2022-09-11 16:04:40+00:00,@Tigo_GT Jajaja más grande y no hay cobertura en mi pueblo,Twitter for Android
Chavelito G,,"Amo, el fútbol",False,2022-09-11 15:56:30+00:00,"@milcausas @Tigo_GT @TigoSportsGt Pero también se paga aparte, por el paquete de paramount?",Twitter for Android
Cesar Molina,Guatemala,"Vivo, trabajo, soy liberal de derecha!!",False,2022-09-11 14:45:53+00:00,Tomando mate 🧉 en una mañana de Domingo y viendo el análisis de este crack @inakiangulo !! Gracias @Tigo_GT  por la Liga! Cuenta con mi suscripción de @VIX https://t.co/t14yJDaNbO,Twitter for iPhone
Abner R Marcos C,,,False,2022-09-11 14:35:30+00:00,@Tigo_GT Vix+ y La Liga estan en Tigo #FutbolConTigo FC BARCELONA,Twitter for Android
